node_loss: 0.01207309402525425, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8554
node_loss: 0.011176916770637035, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8640
node_loss: 0.011218489147722721, edge_loss: 1.3861, edge_weight_loss: 0.8652, cosine_similarity: 0.8656
node_loss: 0.011829164810478687, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8638
node_loss: 0.011398573406040668, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8575
node_loss: 0.010498416610062122, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8705
node_loss: 0.01155535876750946, edge_loss: 1.3859, edge_weight_loss: 0.8652, cosine_similarity: 0.8636
node_loss: 0.011796848848462105, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8649
node_loss: 0.011811928823590279, edge_loss: 1.3860, edge_weight_loss: 0.8652, cosine_similarity: 0.8678
node_loss: 0.011241942644119263, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8607
node_loss: 0.011443198658525944, edge_loss: 1.3859, edge_weight_loss: 0.8652, cosine_similarity: 0.8664
node_loss: 0.011138959787786007, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8772
node_loss: 0.012502560392022133, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8616
node_loss: 0.01051928661763668, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8793
node_loss: 0.011235443875193596, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8617
node_loss: 0.011329920031130314, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8687
node_loss: 0.009199838154017925, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8769
node_loss: 0.011532695032656193, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8672
node_loss: 0.013403257355093956, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8518
node_loss: 0.010716171935200691, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8723
node_loss: 0.010838390327990055, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8716
node_loss: 0.010644255205988884, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8699
node_loss: 0.011441366747021675, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8678
node_loss: 0.011814658530056477, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8697
node_loss: 0.012927738018333912, edge_loss: 1.3861, edge_weight_loss: 0.8652, cosine_similarity: 0.8548
node_loss: 0.011720851995050907, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8609
node_loss: 0.010667864233255386, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8738
node_loss: 0.011549510061740875, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8624
node_loss: 0.010919755324721336, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8685
node_loss: 0.013935888186097145, edge_loss: 1.3860, edge_weight_loss: 0.8652, cosine_similarity: 0.8612
node_loss: 0.011633959598839283, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8575
node_loss: 0.012125622481107712, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8491
node_loss: 0.010414899326860905, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8693
node_loss: 0.01153564453125, edge_loss: 1.3861, edge_weight_loss: 0.8652, cosine_similarity: 0.8603
node_loss: 0.013838171027600765, edge_loss: 1.3860, edge_weight_loss: 0.8651, cosine_similarity: 0.8624
node_loss: 0.011733787134289742, edge_loss: 1.3864, edge_weight_loss: 0.8651, cosine_similarity: 0.8691
node_loss: 0.010438967496156693, edge_loss: 1.3864, edge_weight_loss: 0.8651, cosine_similarity: 0.8702
node_loss: 0.010226803831756115, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8717
node_loss: 0.012146050110459328, edge_loss: 1.3860, edge_weight_loss: 0.8652, cosine_similarity: 0.8534
node_loss: 0.011303736828267574, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8669
node_loss: 0.01028548926115036, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8777
node_loss: 0.010954774916172028, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8678
node_loss: 0.010213675908744335, edge_loss: 1.3861, edge_weight_loss: 0.8652, cosine_similarity: 0.8715
node_loss: 0.010954988189041615, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8746
Epoch 3/10, Train Loss: 4.5144, Train Cosine Similarity: 0.8623
Epoch 3/10, Validation Loss: 1.3977, Validation Cosine Similarity: 0.8678
node_loss: 0.010356731712818146, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8775
node_loss: 0.012984958477318287, edge_loss: 1.3861, edge_weight_loss: 0.8652, cosine_similarity: 0.8607
node_loss: 0.011368622072041035, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8735
node_loss: 0.011417855508625507, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8648
node_loss: 0.011987012811005116, edge_loss: 1.3859, edge_weight_loss: 0.8652, cosine_similarity: 0.8631
node_loss: 0.011518603190779686, edge_loss: 1.3857, edge_weight_loss: 0.8652, cosine_similarity: 0.8573
node_loss: 0.010920428670942783, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8728
node_loss: 0.010406911373138428, edge_loss: 1.3862, edge_weight_loss: 0.8653, cosine_similarity: 0.8819
node_loss: 0.0107726426795125, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8750
node_loss: 0.01097825262695551, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8697
node_loss: 0.011464831419289112, edge_loss: 1.3859, edge_weight_loss: 0.8653, cosine_similarity: 0.8676
node_loss: 0.011330896057188511, edge_loss: 1.3863, edge_weight_loss: 0.8653, cosine_similarity: 0.8619
node_loss: 0.01257709227502346, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8467
node_loss: 0.010819947347044945, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8769
node_loss: 0.010999700054526329, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8696
node_loss: 0.010521351359784603, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8676
node_loss: 0.010706890374422073, edge_loss: 1.3862, edge_weight_loss: 0.8651, cosine_similarity: 0.8652
node_loss: 0.012397920712828636, edge_loss: 1.3860, edge_weight_loss: 0.8652, cosine_similarity: 0.8700
node_loss: 0.012726198881864548, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8569
node_loss: 0.010226735845208168, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8759
node_loss: 0.01099576149135828, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8633
node_loss: 0.01013221312314272, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8776
node_loss: 0.012519312091171741, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8689
node_loss: 0.010549976490437984, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8737
node_loss: 0.010866142809391022, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8704
node_loss: 0.011683519929647446, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8622
node_loss: 0.01183239370584488, edge_loss: 1.3860, edge_weight_loss: 0.8652, cosine_similarity: 0.8690
node_loss: 0.00996717344969511, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8694
node_loss: 0.012042591348290443, edge_loss: 1.3862, edge_weight_loss: 0.8653, cosine_similarity: 0.8613
node_loss: 0.011167279444634914, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8738
node_loss: 0.010820755735039711, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8748
node_loss: 0.011591379530727863, edge_loss: 1.3862, edge_weight_loss: 0.8653, cosine_similarity: 0.8620
node_loss: 0.01119303610175848, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8678
node_loss: 0.011094409972429276, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8765
node_loss: 0.0117562310770154, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8603
node_loss: 0.010786877945065498, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8765
node_loss: 0.009309262037277222, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8824
node_loss: 0.011098109185695648, edge_loss: 1.3861, edge_weight_loss: 0.8652, cosine_similarity: 0.8699
node_loss: 0.012084952555596828, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8574
node_loss: 0.010597778484225273, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8731
node_loss: 0.01076069287955761, edge_loss: 1.3863, edge_weight_loss: 0.8651, cosine_similarity: 0.8696
node_loss: 0.01113159116357565, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8780
node_loss: 0.010865924879908562, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8774
node_loss: 0.01154816523194313, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8696
node_loss: 0.010760504752397537, edge_loss: 1.3863, edge_weight_loss: 0.8651, cosine_similarity: 0.8736
node_loss: 0.009669538587331772, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8745
node_loss: 0.011801873333752155, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8556
node_loss: 0.010417988523840904, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8712
node_loss: 0.010559413582086563, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8729
node_loss: 0.011253018863499165, edge_loss: 1.3855, edge_weight_loss: 0.8653, cosine_similarity: 0.8797
node_loss: 0.012165394611656666, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8670
node_loss: 0.0136216776445508, edge_loss: 1.3861, edge_weight_loss: 0.8652, cosine_similarity: 0.8554
node_loss: 0.011795536614954472, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8628
